PassengerId,Survived,Pclass,Name,Sex,NormAge,NormSibSp,NormParch,NormFare,Embarked
1,0,3,"Braund, Mr. Owen Harris",male,0.271173662,0.125,0,0.014151058,S
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,0.472229203,0.125,0,0.139135735,C
3,1,3,"Heikkinen, Miss. Laina",female,0.321437547,0,0,0.01546857,S
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,0.434531289,0.125,0,0.103644297,S
5,0,3,"Allen, Mr. William Henry",male,0.434531289,0,0,0.015712554,S
6,0,3,"Moran, Mr. James",male,0.25860769,0,0,0.016509502,Q
7,0,1,"McCarthy, Mr. Timothy J",male,0.673284745,0,0,0.101228858,S
8,0,3,"Palsson, Master. Gosta Leonard",male,0.019854235,0.375,0.166666667,0.04113566,S
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,0.334003518,0,0.333333333,0.021730754,S
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,0.170645891,0.125,0,0.058694293,C
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,0.044986177,0.125,0.166666667,0.032596229,S
12,1,1,"Bonnell, Miss. Elizabeth",female,0.72354863,0,0,0.051822149,S
13,0,3,"Saundercock, Mr. William Henry",male,0.246041719,0,0,0.015712554,S
14,0,3,"Andersson, Mr. Anders Johan",male,0.484795175,0.125,0.833333333,0.061044735,S
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,0.170645891,0,0,0.015330377,S
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,0.685850716,0,0,0.03122992,S
17,0,3,"Rice, Master. Eugene",male,0.019854235,0.5,0.166666667,0.056848214,Q
18,1,2,"Williams, Mr. Charles Eugene",male,0.421965318,0,0,0.02537431,S
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,0.384267404,0.125,0,0.03513366,S
20,1,3,"Masselmani, Mrs. Fatima",female,0.183211862,0,0,0.014102261,C
21,0,2,"Fynney, Mr. Joseph J",male,0.434531289,0,0,0.05074862,S
22,1,2,"Beesley, Mr. Lawrence",male,0.421965318,0,0,0.02537431,S
23,1,3,"McGowan, Miss. Anna ""Annie""",female,0.183211862,0,0,0.015671955,Q
24,1,1,"Sloper, Mr. William Thompson",male,0.34656949,0,0,0.069291385,S
25,0,3,"Palsson, Miss. Torborg Danira",female,0.095250063,0.375,0.166666667,0.04113566,S
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,0.472229203,0.125,0.833333333,0.06126432,S
